Symbol,DATE,Company Common Name,GICS Industry Name,"EPS - Basic - excl Extraordinary Items, Common - Total",Book Value per Share,Beta 5 Year,"Dividend Yield - Common - Net - Issue - %, TTM",Company Market Capitalization,Net Income after Minority Interest,"Shareholders Equity - Common, PoP Avg",Sector_Group
ACB,2024-12-31,Asia Commercial Joint Stock Bank,Banks,3190.45233,16248.3388628173,0.895292391446916,3.31471900925288,122766092716100.0,16789768000000.0,77208819500000.0,Ngân hàng & Tài chính
BCM,2024-12-31,Becamex Investment and Industrial Development Group,Real Estate Management & Development,2010.3776,18926.9323560541,0.669998447262564,1.33991537376587,63445500000000.0,2187091169310.0,19075688153107.5,Bất động sản
BID,2024-12-31,Joint Stock Commercial Bank for Investment and Development of Vietnam,Banks,3203.84764,20250.3464759275,1.01526426325622,0.0,264705344270900.0,25140037000000.0,128788904500000.0,Ngân hàng & Tài chính
BSR,2024-12-31,Binh Son Refining and Petrochemical JSC,"Oil, Gas & Consumable Fuels",125.69591,11084.8840027409,1.48780921492398,2.91664836123296,79866429991700.0,631130749304.0,56449485952882.0,Năng lượng
BVH,2024-12-31,BaoViet Holdings,Insurance,2843.09876,30433.5970557936,0.811092019756459,1.91681490689955,40085429256000.0,2110496926600.0,21966235110957.5,Ngân hàng & Tài chính
CTG,2024-12-31,Vietnam Joint Stock Commercial Bank for Industry and Trade,Banks,3263.5995,18995.0976700849,1.11828218089249,0.0,267572207000150.0,25348215000000.0,136272289500000.0,Ngân hàng & Tài chính
DGC,2024-12-31,Ducgiang Chemicals Group JSC,Chemicals,7392.33135,35173.0220033333,0.848910598527068,2.4442538593482,26660444592600.0,2986646667039.0,12532493967373.0,Khác
EIB,2024-12-31,Vietnam Export Import Commercial Joint Stock Bank,Banks,1785.99195,13474.5951194601,0.615467005201176,1.47668393782383,40048493050500.0,3326804000000.0,23772202500000.0,Ngân hàng & Tài chính
FPT,2024-12-31,FPT Corp,IT Services,4299.40467,17611.7950815604,0.642343452027706,0.634821529236412,159959318661900.0,7856767812178.0,27384193422171.0,Công nghệ thông tin
GAS,2024-12-31,Petrovietnam Gas Joint Stock Corp,Gas Utilities,4227.21286,24968.3869753031,0.670076879728921,8.62523901601235,154428784384000.0,10398370049725.0,62148256347312.0,Tiện ích
GEE,2024-12-31,Gelex Electricity JSC,Electrical Equipment,4411.74523,17770.6648571174,0.500223005105684,4.35742564848906,67343991904000.0,1588234634885.0,5915913936660.0,Công nghiệp
GMD,2024-12-31,Gemadept Corp,Transportation Infrastructure,4276.0792,29909.2012964535,0.841077993445941,2.82092937919367,25376458985500.0,1455479595602.0,10481187286244.5,Công nghiệp
HDB,2024-12-31,Ho Chi Minh City Development Joint Stock Commercial Bank,Banks,2830.70921,12021.6977598477,1.08785309260583,2.39384141176471,129886922528100.0,12762953000000.0,49479981000000.0,Ngân hàng & Tài chính
HPG,2024-12-31,Hoa Phat Group JSC,Metals & Mining,1459.07266,14898.8347794595,1.34540571252936,0.0,204934938328500.0,12021443836074.0,108563558372110.0,Khác
HVN,2024-12-31,Vietnam Airlines JSC,Passenger Airlines,2691.98217,-3564.84539657489,0.735844555555516,0.0,79965504022700.0,7564092019695.0,-13765955268515.5,Khác
KBC,2024-12-31,Kinhbac City Development Holding Corp,Real Estate Management & Development,497.55309,24176.359637614,1.3917275220754,0.0,32302188233700.0,381924116264.0,18366926654996.0,Bất động sản
KDH,2024-12-31,Khang Dien House Trading and Investment JSC,Real Estate Management & Development,729.52853,15639.0666113115,1.26340369043775,0.0,36640316452350.0,810413554000.0,15422717710500.0,Bất động sản
LPB,2024-12-31,Fortune Vietnam Joint Stock Commercial Bank,Banks,3254.09509,14507.460421305,1.01901238183233,0.0,129946771350000.0,9720900000000.0,38727850000000.0,Ngân hàng & Tài chính
MBB,2024-12-31,Military Commercial Joint Stock Bank,Banks,2453.22456,13923.0226063408,1.31006950645186,1.90582048749135,198958497752300.0,22633757000000.0,102443375000000.0,Ngân hàng & Tài chính
MSB,2024-12-31,Vietnam Maritime Commercial Joint Stock Bank,Banks,1769.15959,11800.4518364654,1.26305812121575,0.0,39624000000000.0,5519377000000.0,34057884500000.0,Ngân hàng & Tài chính
MSN,2024-12-31,Masan Group Corp,Food Products,1345.0,19989.0743386007,0.981052740948612,0.0,109600391640600.0,1999059000000.0,28400806000000.0,Hàng tiêu dùng thiết yếu
MWG,2024-12-31,Mobile World Investment Corp,Specialty Retail,2545.92299,18992.7171306556,0.898884207716137,0.789892357793101,121735065652700.0,3721868441661.0,25551856554661.5,Hàng tiêu dùng không thiết yếu
OCB,2024-12-31,Orient Commercial Joint Stock Bank,Banks,1182.12157,11892.813736443,0.989067093459192,0.0,31956627408000.0,3173423226768.0,30103374452097.0,Ngân hàng & Tài chính
PLX,2024-12-31,Vietnam National Petroleum Group,"Oil, Gas & Consumable Fuels",1766.99313,20480.8922653632,1.00459625855915,3.92737254642568,44280139389750.0,2889803702540.0,25981199119147.5,Năng lượng
PNJ,2024-12-31,Phu Nhuan Jewelry JSC,"Textiles, Apparel & Luxury Goods",5713.15231,33309.0643892663,0.454879190923419,1.98491195663735,31556292397500.0,2112916282946.0,10530743647249.0,Hàng tiêu dùng không thiết yếu
POW,2024-12-31,Petrovietnam Power Corp,Independent Power and Renewable Electricity Producers,392.32367,11297.3227143041,1.01071179507038,0.0,37427791911200.0,1111588278970.0,31712041033239.0,Năng lượng
REE,2024-12-31,Refrigeration Electrical Engineering Corp,Industrial Conglomerates,3684.55404,34892.7518996247,0.530526329024496,1.23339473966519,33528638804100.0,1993385852649.0,18109079342150.0,Công nghiệp
SAB,2024-12-31,Saigon Beer Alcohol Beverage Corp,Beverages,3290.58538,18152.8169260614,0.545278280048929,7.27837438580696,63743349888400.0,4330113031371.0,23747215973002.0,Hàng tiêu dùng thiết yếu
SHB,2024-12-31,Sai Gon Ha Noi Commercial Joint Stock Bank,Banks,1838.4254,12640.5202693368,1.36657499042124,4.80969683465669,74188316983700.0,9321949000000.0,54082812000000.0,Ngân hàng & Tài chính
SSB,2024-12-31,Southeast Asia Commercial Joint Stock Bank,Banks,1647.81129,12346.6860670194,0.490302227220681,0.0,49787500000000.0,4816026000000.0,32649847000000.0,Ngân hàng & Tài chính
STB,2024-12-31,Saigon Thuong Tin Commercial Joint Stock Bank,Banks,5350.84389,29159.5648887536,1.09133319145596,0.0,92375570084000.0,10087495000000.0,50352967000000.0,Ngân hàng & Tài chính
TCB,2024-12-31,Vietnam Technological And Commercial Joint Stock Bank,Banks,3049.26486,20583.4687509781,1.32568602950283,2.9670338058335,238097677910400.0,21522928000000.0,137865193500000.0,Ngân hàng & Tài chính
TPB,2024-12-31,Tien Phong Commercial Joint Stock Bank,Banks,2188.72016,13552.1270772046,1.36181539288628,2.55026572389191,46742689810050.0,6071634000000.0,35168643500000.0,Ngân hàng & Tài chính
VCB,2024-12-31,JSC Bank for Foreign Trade of Viet Nam,Banks,3726.63897,23470.7070153223,0.67977998981272,0.0,480451317905000.0,33831386000000.0,180549703500000.0,Ngân hàng & Tài chính
VHM,2024-12-31,Vinhomes JSC,Real Estate Management & Development,7348.0,49334.1405251442,1.25506921021616,0.0,416902318406000.0,31801258000000.0,190968717000000.0,Bất động sản
VIB,2024-12-31,Viet Nam International Commercial Joint Stock Bank,Banks,2092.09815,12326.0103349107,1.41961890799011,2.78531459190222,59910500496000.0,7204470000000.0,39900698000000.0,Ngân hàng & Tài chính
VIC,2024-12-31,Vingroup JSC,Real Estate Management & Development,1573.84202,18393.4174065165,1.03069894526216,0.0,1152501486196500.0,11903028000000.0,125019702000000.0,Bất động sản
VJC,2024-12-31,Vietjet Aviation JSC,Passenger Airlines,2590.71938,31566.2042476903,0.636235256039916,0.0,108268105666600.0,1403162979000.0,16164247968003.0,Khác
VNM,2024-12-31,Vietnam Dairy Products JSC,Food Products,4022.01539,15444.7405174252,0.345615944492679,4.79153512207856,133757148480000.0,9392310356250.0,31987817123578.0,Hàng tiêu dùng thiết yếu
VPB,2024-12-31,Vietnam Prosperity Joint Stock Commercial Bank,Banks,1988.77577,17885.8509530031,1.49292772377125,5.08237078580514,225720126448450.0,15778795000000.0,140850251000000.0,Ngân hàng & Tài chính
VRE,2024-12-31,Vincom Retail JSC,Real Estate Management & Development,1802.46746,18449.1217496231,0.807981093071329,0.0,72032493597000.0,4095780000000.0,39862919500000.0,Bất động sản
